mod_num,formula,feature,estimate,estimate_se,ci_lwr,ci_upr,RMSE,pvalue,pvalue < 0.05,num_coefs
0,y ~ 1,Intercept,-0.8368968237235109,0.012264347895474127,-0.8609354062163813,-0.8128582412306405,2.2022958075194743,0.0,True,1
1,y ~ playlist_genre + mode + key + release_month + bin_year,Intercept,-2.240167990661637,0.06010438345398585,-2.3579748435801213,-2.122361137743153,2.157828765550314,1.0278955718605984e-297,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,playlist_genre[T.latin],0.8684209419853882,0.04187079508120328,0.7863526082924288,0.9504892756783476,2.157828765550314,6.241994866698115e-95,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,playlist_genre[T.pop],0.9853231750839041,0.04084543595582399,0.9052645838544817,1.0653817663133265,2.157828765550314,1.931959258072673e-127,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,playlist_genre[T.r&b],0.6274122036819835,0.042578867110870805,0.5439560221705935,0.7108683851933735,2.157828765550314,5.5243917710702385e-49,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,playlist_genre[T.rap],0.7440863263089756,0.04092377734819786,0.6638741830030083,0.824298469614943,2.157828765550314,1.6650212506206928e-73,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,playlist_genre[T.rock],0.9486549021478562,0.047208890509324454,0.8561237005769334,1.0411861037187788,2.157828765550314,2.8899174756911964e-89,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,mode[T.minor],-0.02991432619156773,0.025665447442712132,-0.08021956880811368,0.020390916424978218,2.157828765550314,0.24380563135735997,False,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,key[T.A♯/B♭],0.0533937726933613,0.06079046459839788,-0.0657578250810743,0.1725453704677969,2.157828765550314,0.37977403117549857,False,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,key[T.B],0.053943836506537154,0.056287816428329626,-0.056382401448327166,0.16427007446140146,2.157828765550314,0.33788984029449876,False,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,key[T.C],0.12223749411436928,0.05451537966395423,0.015385298903291558,0.229089689325447,2.157828765550314,0.02495153920194536,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,key[T.C♯/D♭],0.12223617029356658,0.05282693544345848,0.018693389280161926,0.22577895130697123,2.157828765550314,0.02067954697300772,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,key[T.D],0.03468993260146298,0.05735450099471127,-0.07772704723611847,0.14710691243904445,2.157828765550314,0.545293787631838,False,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,key[T.D♯/E♭],0.012764579975379305,0.08228605048064927,-0.1485191748715218,0.1740483348222804,2.157828765550314,0.8767241631850455,False,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,key[T.E],0.031963319705096346,0.06113734198256767,-0.0878681707931191,0.1517948102033118,2.157828765550314,0.6011088692741373,False,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,key[T.F],0.07798688125132365,0.05789064022925938,-0.035480951657508294,0.19145471416015558,2.157828765550314,0.1779441545472535,False,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,key[T.F♯/G♭],0.11417792419592368,0.05797664133400004,0.0005415258861211775,0.2278143225057262,2.157828765550314,0.04891825093040923,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,key[T.G],0.011602383216133024,0.05487978959427052,-0.09596406916881077,0.11916883560107681,2.157828765550314,0.8325651812418725,False,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,key[T.G♯/A♭],0.19973599679608708,0.0595442386834042,0.0830270487026562,0.31644494488951797,2.157828765550314,0.0007962513349486606,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,release_month[T.2],0.1601251502343473,0.061011293316867735,0.04054071986331963,0.279709580605375,2.157828765550314,0.008681301013031719,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,release_month[T.3],0.14717085335841076,0.05587754834873513,0.03764875627535058,0.25669295044147095,2.157828765550314,0.008447302770381939,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,release_month[T.4],0.0014566268229359138,0.05734106869362681,-0.11093402519914727,0.1138472788450191,2.157828765550314,0.9797337916458895,False,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,release_month[T.5],0.24593813128121184,0.05432180455323048,0.13946535057016257,0.3524109119922611,2.157828765550314,5.9919179628198134e-06,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,release_month[T.6],0.2356527401656404,0.05286039125838426,0.13204438449625,0.3392610958350308,2.157828765550314,8.2998714402429e-06,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,release_month[T.7],0.20385845607447683,0.056287748233800235,0.09353235178345586,0.3141845603654978,2.157828765550314,0.000293100077996779,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,release_month[T.8],0.22042409707348296,0.053595058616421665,0.11537576574144255,0.3254724284055234,2.157828765550314,3.9191093474608755e-05,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,release_month[T.9],0.2556010892976012,0.05158544181796296,0.15449168249973871,0.35671049609546374,2.157828765550314,7.273110756174668e-07,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,release_month[T.10],0.37516681466445556,0.04840425283595937,0.2802926579593871,0.470040971369524,2.157828765550314,9.406690920495555e-15,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,release_month[T.11],0.5033063928102993,0.04714543536676896,0.41089956570620195,0.5957132199143967,2.157828765550314,1.46643785145974e-26,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,release_month[T.12],0.42695216599860997,0.052908807191032976,0.32324891327964206,0.5306554187175778,2.157828765550314,7.296656895996036e-16,True,30
1,y ~ playlist_genre + mode + key + release_month + bin_year,bin_year[T.recent],0.610612001241214,0.03247594699511582,0.546957923265835,0.6742660792165929,2.157828765550314,1.9157755709526254e-78,True,30
2,y ~ danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,Intercept,1.669544050829633,0.15606231916507177,1.3636560403998808,1.9754320612593854,2.1425388426545378,1.1537864707695435e-26,True,11
2,y ~ danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,danceability,0.42555846198300795,0.09432965021318762,0.24066880263015444,0.6104481213358615,2.1425388426545378,6.462935976288219e-06,True,11
2,y ~ danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,energy,-1.8222194232693343,0.10697684295799191,-2.031898055687094,-1.6125407908515745,2.1425388426545378,8.86740251514016e-65,True,11
2,y ~ danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,loudness,0.09139830342289958,0.00576190801509157,0.08010474717918288,0.10269185966661627,2.1425388426545378,1.884917352541909e-56,True,11
2,y ~ danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,log_speechiness,-0.10258108483604528,0.018105838961158482,-0.13806920962247865,-0.0670929600496119,2.1425388426545378,1.4772760667208745e-08,True,11
2,y ~ danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,logit_acousticness,0.0476612309308581,0.005838789365663793,0.03621698435079689,0.0591054775109193,2.1425388426545378,3.389722009240609e-16,True,11
2,y ~ danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,instrumentalness,-0.727493047091619,0.05685566304380929,-0.8389322833094259,-0.6160538108738121,2.1425388426545378,2.1444067138283015e-37,True,11
2,y ~ danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,sqrt_liveness,-0.4032680001052198,0.08286843768137783,-0.5656932521801089,-0.24084274803033068,2.1425388426545378,1.1420645374315009e-06,True,11
2,y ~ danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,valence,-0.01495887661714149,0.05798539014837765,-0.1286124204153674,0.09869466718108444,2.1425388426545378,0.7964265759978076,False,11
2,y ~ danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,tempo,0.0019390025289587195,0.00045884371847696066,0.0010396515972668136,0.0028383534606506253,2.1425388426545378,2.3869966921737727e-05,True,11
2,y ~ danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,duration_ms,-4.463644828812469e-06,2.0430871866060916e-07,-4.8640975953668495e-06,-4.063192062258089e-06,2.1425388426545378,4.753109908093974e-105,True,11
3,y ~ playlist_genre + mode + key + release_month + bin_year + danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,Intercept,0.2256755282413346,0.1814162135693842,-0.12990708005022364,0.5812581365328928,2.1167035166801114,0.21352127905793342,False,40
3,y ~ playlist_genre + mode + key + release_month + bin_year + danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,playlist_genre[T.latin],0.48743457051007105,0.04456190259353844,0.4000915638245935,0.5747775771955487,2.1167035166801114,8.45582132195007e-28,True,40
3,y ~ playlist_genre + mode + key + release_month + bin_year + danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,playlist_genre[T.pop],0.687714512077307,0.042577597670377505,0.6042608177434705,0.7711682064111436,2.1167035166801114,1.86607884386117e-58,True,40
3,y ~ playlist_genre + mode + key + release_month + bin_year + danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,playlist_genre[T.r&b],0.21186369247047843,0.047083155738369284,0.11957893470463578,0.3041484502363211,2.1167035166801114,6.826265914046552e-06,True,40
3,y ~ playlist_genre + mode + key + release_month + bin_year + danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,playlist_genre[T.rap],0.34409952214230055,0.04532850251776127,0.2552539507454996,0.4329450935391015,2.1167035166801114,3.2541230871911486e-14,True,40
3,y ~ playlist_genre + mode + key + release_month + bin_year + danceability + energy + loudness + log_speechiness + logit_acousticness + instrumentalness + sqrt_liveness + valence + tempo + duration_ms,playlist_genre[T.rock],0.9348534629881704,0.050585792314889674,0.8357034056701452,1.0340035203061955,2.1167035166801114,7.315360356833482e-76,True,40
